FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,AdClip,Size_Run,DNA_Run,CWT_Run,CATCH,Salvage,LOSS
2,12/4/2024,20:00,F,1,140,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,143,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,147,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,158,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,159,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,160,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,160,C,LF,,,1,4,2.6
2,12/4/2024,20:00,F,1,162,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,163,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,165,C,LF,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,168,C,F,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,179,C,F,,LF,1,4,2.6
2,12/4/2024,20:00,F,1,183,C,F,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,124,C,LF,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,128,C,LF,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,130,C,LF,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,142,C,LF,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,148,C,LF,,LF,1,4,2.6
2,12/4/2024,22:00,F,1,179,C,F,,LF,1,4,2.6
2,12/4/2024,23:59,F,1,165,C,LF,,LF,1,4,2.6
2,12/5/2024,2:00,F,1,169,C,F,,LF,1,4,2.6
2,12/5/2024,2:00,F,1,172,C,F,,LF,1,4,2.6
2,12/5/2024,2:00,F,1,175,C,F,,LF,1,4,2.6
2,12/5/2024,4:00,F,1,130,C,LF,,LF,1,4,2.6
2,12/5/2024,4:00,F,1,161,C,LF,,LF,1,4,2.6
2,12/5/2024,6:00,F,1,163,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,121,C,W,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,136,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,137,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,150,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,155,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,159,C,LF,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,170,N,F,F,,1,4,2.6
2,12/5/2024,8:00,F,1,174,C,F,,LF,1,4,2.6
2,12/5/2024,8:00,F,1,185,C,F,,LF,1,4,2.6
2,12/5/2024,10:00,F,1,124,C,W,,LF,1,4,2.6
2,12/5/2024,10:00,F,1,132,C,LF,,LF,1,4,2.6
2,12/5/2024,10:00,F,1,140,C,LF,,LF,1,4,2.6
2,12/5/2024,10:00,F,1,155,C,LF,,LF,1,4,2.6
